Provincia,Codice,Tipologia,Denominazione,Indirizzo,Civico,Localita,Cod. comune,Comune,CAP,Distr.,Telefono,Caratteristica scuola,Sede direttivo,Codice sede riferimento,Codice sede di direttivo,Denominazione sede direttivo,Indirizzo sede di direttivo,Cod. comune sede dir.,Comune sede di direttivo,CAP sede dir.,Distr. sede dir.,Classificazione Autonomia,Organico Autonomia,Organico Sede,Num. Sedi Autonomia,Macrotipologia Autonomia,Tipologia Autonomia,Tipologia Sede,S-Comune montano,Telefono Sede Autonomia,Fax Sede Autonomia,Fax Sede Autonomia_1,Indirizzo E-Mail Autonomia,Indirizzo E-Mail sede corsi,Indirizzo PEC Autonomia,Indirizzo PEC sede corsi,Codice_ISTAT_comune_SEDE,coorY,coorX,location
MI,MIEE8FU01C,Istituto Istruzione Primario,Primaria - T. Toti,Via Cima,15,,F205,MILANO,20134,,,Ordinaria,NO,MIIC8FU00A,MIIC8FU00A,"IC di Milano, Viale Romagna","Viale Romagna, 16-18",F205,MILANO,20133,,Statale,1019,136,4,Primo ciclo,Istituto Comprensivo,,Non montano,,,,,,,miee065008@pec.istruzione.it,15146,45.47174625,9.24682725,"(45.47174625, 9.24682725)"
MI,MIEE8BV01P,Istituto Istruzione Primario,Primaria - via Verga,Via Deledda,,RHO,H264,RHO,20017,067,0293181981,Ordinaria,NO,MIIC8BV00L,MIIC8BV00L,Fabrizio De AndrÃÂ¨,"Via Deledda, 2",H264,RHO,20017,067,Statale,967,131,5,Primo ciclo,Istituto Comprensivo,,Non montano,029303862,0293181483,0293181981,miic8bv00l@istruzione.it,miee27900x@istruzione.it,miic8bv00l@pec.istruzione.it,miic8bv00l@pec.istruzione.it,15182,45.53543747,9.01519082,"(45.53543747, 9.01519082)"
MI,MIMM8F201Q-02,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Melzi D'Eril succursale,Via Moscati,,,F205,MILANO,20100,,,Succursale,NO,MIIC8F200P,MIIC8F200P,"IC di Milano, Via Linneo","Via Linneo, 2",F205,MILANO,20145,,Statale,1821,0,4,Primo ciclo,Istituto Comprensivo,,Non montano,0288448987,0288448990,,,,,mimm66300r@pec.istruzione.it,15146,45.47882301,9.16897374,"(45.47882301, 9.16897374)"
MI,MIEE8DB01G,Istituto Istruzione Primario,Primaria - via Baranzate,Via Baranzate,8,NOVATE MILANESE,F955,NOVATE MILANESE,20026,066,0238201592,Ordinaria,SI,MIIC8DB00D,MIIC8DB00D,Don Milani,"Via Baranzate, 8",F955,NOVATE MILANESE,20026,066,Statale,763,396,4,Primo ciclo,Istituto Comprensivo,,Non montano,023564884,0238202307,0238201592,elena.dipierro@libero.it,elena.dipierro@libero.it,icsnovate@pec.inet.it,miic8db00d@pec.istruzione.it,15157,45.53081675,9.13180737,"(45.53081675, 9.13180737)"
MI,MIAA8BR01C,Scuola dell'Infanzia,Infanzia - via Brodolini,Via Brodolini,43,NOVATE MILANESE,F955,NOVATE MILANESE,20026,066,023544221,Ordinaria,NO,MIIC8BR00G,MIIC8BR00G,Via Brodolini,"Via Dello Sport, 18",F955,NOVATE MILANESE,20026,066,Statale,1121,85,4,Primo ciclo,Istituto Comprensivo,,Non montano,023544149,0233240314,,icviabrodolini@libero.it,,miic8br00g@pec.istruzione.it,miic8br00g@pec.istruzione.it,15157,45.5386681,9.13940681,"(45.5386681, 9.13940681)"
MI,MIPS210009-LS,Istituto Istruzione Secondario Secondo grado,L. Scientifico - Bruno,Viale Svezia,4,MELZO,F119,MELZO,20066,058,029551346,Ordinaria,SI,MIPS210009,MIPS210009,G. Bruno,"Viale Svezia, 4",F119,MELZO,20066,058,Statale,1010,656,2,Secondo ciclo,Liceo,Liceo,Non montano,029552257,029551949,029551949,mips210009@istruzione.it,info@liceo-melzocassano.it,mips210009@pec.istruzione.it,mips210009@pec.istruzione.it,15142,45.50515969,9.41522635,"(45.50515969, 9.41522635)"
MI,MIEE8FP021,Istituto Istruzione Primario,Primaria - G. Leopardi,Via Bodio,22,,F205,MILANO,20158,,,Ordinaria,NO,MIIC8FP00T,MIIC8FP00T,"IC di Milano, Via Maffucci","Via Maffucci, 60",F205,MILANO,20158,,Statale,1406,449,3,Primo ciclo,Istituto Comprensivo,,Non montano,0288447160,0288447164,,smsmaffucci@tin.it,,MIMM0AD00Ai@pec.istruzione.it,miee00600c@pec.istruzione.it,15146,45.49757794,9.16848089,"(45.49757794, 9.16848089)"
MI,MIEE8CZ01L,Istituto Istruzione Primario,Primaria - via Dei Narcisi,Via dei Narcisi,2,-,F205,MILANO,20147,090,024150354,Ordinaria,SI,MIIC8CZ00E,MIIC8CZ00E,Narcisi,"Via dei Narcisi, 2",F205,MILANO,20147,090,Statale,1310,310,4,Primo ciclo,Istituto Comprensivo,,Non montano,02-88445739,02-88445745,024150354,miic8cz00e@istruzione.it,narcisi_segr@libero.it,miic8cz00e@pec.istruzione.it,miic8cz00e@pec.istruzione.it,15146,45.44992694,9.1286856,"(45.44992694, 9.1286856)"
MI,MIEE8FE029,Istituto Istruzione Primario,Primaria - Vernate,Piazza De Gasperi,,,L773,VERNATE,20080,094,,Ordinaria,NO,MIIC8FE006,MIIC8FE006,"IC di Binasco, Piazza XXV Aprile","Piazza XXV Aprile, 30a",A872,BINASCO,20082,094,Statale,1081,147,5,Primo ciclo,Istituto Comprensivo,,Non montano,029055352,029055352,,MIEE35200R@istruzione.it,,MIEE35200R@pec.istruzione.it,miee35200r@pec.istruzione.it,15236,45.31168505,9.03818617,"(45.31168505, 9.03818617)"
MI,MIAA8AQ023,Scuola dell'Infanzia,Infanzia - Rinascita,Via Robecco,,CINISELLO BALSAMO,C707,CINISELLO BALSAMO,20092,065,0266046509,Ordinaria,NO,MIIC8AQ005,MIIC8AQ005,Carlo Emanuele Buscaglia,"Via Paisiello, 2",C707,CINISELLO BALSAMO,20092,065,Statale,1167,150,6,Primo ciclo,Istituto Comprensivo,,Non montano,0266049026,0266049026,,miic8aq005@istruzione.it,,icbuscaglia@pec.icbuscaglia.it,miic8aq005@pec.istruzione.it,15077,45.55787674,9.22061085,"(45.55787674, 9.22061085)"
