CODICE_VIA,AREA,DESCRIZIONE_VIA,CIVICO,BARRATO,CAP,SEZIONE,MUNICIPIO
4377,VIA,8 OTTOBRE 2001,12,,138,916,4
3123,VIA,A.DEL SARTO,1,,129,665,3
3123,VIA,A.DEL SARTO,3,,129,665,3
3123,VIA,A.DEL SARTO,4,,129,665,3
3123,VIA,A.DEL SARTO,5,,129,665,3
3123,VIA,A.DEL SARTO,6,,129,665,3
3123,VIA,A.DEL SARTO,7,,129,665,3
3123,VIA,A.DEL SARTO,8,,129,665,3
3123,VIA,A.DEL SARTO,9,,129,665,3
3123,VIA,A.DEL SARTO,10,,129,665,3
3123,VIA,A.DEL SARTO,11,,129,665,3
3123,VIA,A.DEL SARTO,13,,129,665,3
3123,VIA,A.DEL SARTO,14,,129,665,3
3123,VIA,A.DEL SARTO,15,,129,665,3
3123,VIA,A.DEL SARTO,16,,129,665,3
3123,VIA,A.DEL SARTO,18,,129,665,3
3123,VIA,A.DEL SARTO,18,A,129,665,3
3123,VIA,A.DEL SARTO,20,,129,665,3
3123,VIA,A.DEL SARTO,21,,129,665,3
3123,VIA,A.DEL SARTO,22,,129,665,3
3123,VIA,A.DEL SARTO,23,,129,665,3
3123,VIA,A.DEL SARTO,24,,129,665,3
3123,VIA,A.DEL SARTO,26,,129,665,3
3123,VIA,A.DEL SARTO,28,,129,665,3
3123,VIA,A.DEL SARTO,30,,129,665,3
3123,VIA,A.DEL SARTO,31,,129,665,3
3123,VIA,A.DEL SARTO,32,,129,665,3
3135,VIA,ABAMONTI GIUSEPPE,1,,129,113,3
3135,VIA,ABAMONTI GIUSEPPE,2,,129,113,3
3135,VIA,ABAMONTI GIUSEPPE,4,,129,113,3
2558,VIA,ABANO,3,,131,1565,3
2558,VIA,ABANO,4,,131,1565,3
2558,VIA,ABANO,5,,131,1565,3
2558,VIA,ABANO,6,,131,1565,3
2558,VIA,ABANO,7,,131,1565,3
2558,VIA,ABANO,8,,131,1565,3
2558,VIA,ABANO,9,,131,1565,3
2558,VIA,ABANO,10,,131,1565,3
2558,VIA,ABANO,11,,131,1565,3
2558,VIA,ABANO,14,,131,1565,3
2558,VIA,ABANO,16,,131,1565,3
1295,VIA,ABBA GIUSEPPE C,4,,158,1184,9
1295,VIA,ABBA GIUSEPPE C,5,,158,1184,9
1295,VIA,ABBA GIUSEPPE C,7,,158,1184,9
1295,VIA,ABBA GIUSEPPE C,22,,158,1184,9
1295,VIA,ABBA GIUSEPPE C,24,,158,1184,9
1295,VIA,ABBA GIUSEPPE C,25,,158,1184,9
1295,VIA,ABBA GIUSEPPE C,26,,158,1184,9
1295,VIA,ABBA GIUSEPPE C,29,,158,1184,9
1295,VIA,ABBA GIUSEPPE C,31,,158,1184,9
1295,VIA,ABBA GIUSEPPE C,32,,158,1184,9
1150,VIA,ABBADESSE,20,,124,1461,2
1150,VIA,ABBADESSE,27,,124,1461,2
1150,VIA,ABBADESSE,29,,124,1461,2
1150,VIA,ABBADESSE,30,,124,1461,2
1150,VIA,ABBADESSE,33,,124,1236,2
1150,VIA,ABBADESSE,35,,124,1236,2
1150,VIA,ABBADESSE,36,,124,1461,2
1150,VIA,ABBADESSE,37,,124,1236,2
1150,VIA,ABBADESSE,38,,124,1461,2
1150,VIA,ABBADESSE,39,,124,1236,2
1150,VIA,ABBADESSE,40,,124,1461,2
1150,VIA,ABBADESSE,41,,124,1236,2
1150,VIA,ABBADESSE,43,,124,1236,2
1150,VIA,ABBADESSE,44,,124,1236,2
1150,VIA,ABBADESSE,45,,124,1236,2
1150,VIA,ABBADESSE,46,,124,1236,2
1150,VIA,ABBADESSE,48,,124,1241,2
1150,VIA,ABBADESSE,50,,124,1241,2
1150,VIA,ABBADESSE,52,,124,1241,2
1150,VIA,ABBADESSE,54,,124,1241,2
1310,VIA,ABBAZIA,4,,125,1242,2
1310,VIA,ABBAZIA,6,,125,1242,2
5339,PZA,ABBIATEGRASSO,1,,142,2066,5
5339,PZA,ABBIATEGRASSO,2,,142,2066,5
5339,PZA,ABBIATEGRASSO,7,,142,2066,5
5339,PZA,ABBIATEGRASSO,8,,142,2066,5
5339,PZA,ABBIATEGRASSO,12,,142,2066,5
5339,PZA,ABBIATEGRASSO,14,,142,2066,5
5339,PZA,ABBIATEGRASSO,15,,142,2066,5
6556,VIA,ABBIATI FILIPPO,1,,148,1331,7
6556,VIA,ABBIATI FILIPPO,2,,148,1688,7
6556,VIA,ABBIATI FILIPPO,3,,148,1331,7
6556,VIA,ABBIATI FILIPPO,4,,148,1064,7
6556,VIA,ABBIATI FILIPPO,5,,148,1331,7
6556,VIA,ABBIATI FILIPPO,6,,148,1064,7
6556,VIA,ABBIATI FILIPPO,7,,148,1556,7
6830,VIA,ABETI,3,,152,12,7
6830,VIA,ABETI,4,,152,12,7
6830,VIA,ABETI,5,,152,12,7
6830,VIA,ABETI,6,,152,12,7
6830,VIA,ABETI,7,,152,12,7
6830,VIA,ABETI,9,,152,12,7
